X	Y
0009.6123306182	-313.4011776241
0011.0898934234	-300.6502529916
-003.5716806663	-053.3910459640
0014.8865478739	-103.0620325157
0004.1566967324	-104.2764955500
0005.4359286253	-218.7226194939
0006.1139322289	-136.2183059708
0008.0507413938	-284.7719557660
0008.0073877144	-190.3468993484
0015.3354544516	-098.9800914327
0026.9527652549	-265.6798654502
0019.3915023514	-243.8948924262
0000.7562002794	-092.5095432255
0008.4863864350	-277.2781357717
0017.9027804306	-164.0777773016
0012.3900505272	-384.6070090495
0004.4366612748	-129.6437228796
0021.0061293913	-247.0411176603
0015.4774270067	-127.3012279890
0023.1248049376	-268.8659752983
0000.1590328248	-112.6708504044
0003.9577163304	-103.2352235860
0004.2488211529	-111.6884865534
-003.7068392911	-053.5632291600
-000.9061516364	-023.7684281050
0014.4042396177	-111.4528844768
0007.5490442245	-179.2185268888
0026.5554644324	-388.9128951288
0006.9274150485	-210.1864000750
0022.1871083782	-289.5967794789
0026.9677549613	-265.7327016930
0021.2190532281	-285.5146178079
0005.1044434127	-140.8001795978
0019.8782471663	-214.7532919423
0020.1868896103	-263.3275971948
0001.6309355813	-066.6890698219
0015.2932500036	-127.3673145885
0013.6868735798	-073.9715777326
0022.2278967767	-289.3555817658
0017.5729296984	-206.0847855451
0008.5505195009	-258.4346354595
0026.3202057600	-262.1797969997
0007.8222538205	-190.9113478076
0019.8592833505	-214.7004397831
0015.0447332411	-104.1726792451
0007.0073517264	-210.5151712784
0015.3491851793	-132.3354007023
0022.4996836167	-316.2824369148
0005.9114789027	-136.1215221071
0020.2911252658	-226.8855321427
0001.3924870822	-055.3161753968
0010.7140875794	-334.1174421672
0001.6695945972	-066.5408441529
0027.6119197212	-399.0954264859
0004.6530036789	-129.7128230776
0011.3062531097	-349.7804863131
0023.4209187906	-338.4545554124
0024.2014785196	-320.5435695651
0019.9193541031	-214.7875096163
0025.1584119541	-349.0766388555
0005.9481850456	-136.1225611165
0002.9350508514	-098.3165711634
0002.6853620776	-121.9311258587
0022.3750771241	-289.4940487474
0006.9488829894	0004.7630010161
0007.7963360199	-231.1910565322
0026.0867295297	-403.4594997444
0012.0145556880	-068.8383207772
0015.3121331412	-132.5960204278
0014.7128483194	-087.3187581515
0012.3320276842	-384.8315861524
0011.0601515071	-300.7227664929
0010.4053144481	-272.7781417082
0002.9366908904	-099.4405336715
0020.1330807453	-226.8712796558
0019.1104357028	-084.9281987130
0026.4087839287	-365.3510344938
0026.5973183178	-388.8954155370
0012.5381089528	-044.9598110458
0009.0966907012	-248.6603674250
0022.3918777096	-316.3041768348
0004.6010742768	-112.1545320744
0001.4094289395	-055.2346532184
0026.5994709505	-367.6459244680
0004.8151786022	-153.7498470710
0016.0880585306	-078.3921661870
-000.2310797754	-202.9739074227
0019.6438684161	-067.6378852931
0027.9987403754	-411.4368625702
-001.0506114001	-023.9274869428
0018.9894814609	-084.8707142733
0010.5860552066	-342.7415438064
-002.6274032456	-006.8582075039
0002.8711594844	-099.4967841929
0014.6701889363	-087.2529126435
0008.4196952731	-236.1210696491
0004.6573044811	-129.9687311532
0007.9332495616	-190.2368340808
0012.1522137554	-420.3488267202
0017.6218925260	-148.4793172419
0024.5764797748	-328.5559792443
0026.7387156654	-389.2789800899
0015.6052639836	-411.2052903125
0019.4606817468	-243.9595237222
0000.0762328973	-112.1171839190
0023.9079395624	-181.4419676377
0019.8774376660	-214.6564965140
0016.4734284545	-410.1683358542
0012.1941269056	-362.3076654036
0021.1717867657	-285.4518268086
-003.5574515478	-050.9440982605
0017.5804608012	-205.5476024093
0023.1701575432	-286.9569315760
0015.3796024402	-132.4782861833
0008.0563979779	-167.1533692267
0024.3695049250	-299.7365247106
0031.7168546228	-424.9165908273
0019.2938970989	-188.2933685868
0017.5795424298	-148.3708300577
0008.4119273213	-243.7657147521
0018.0902964130	-177.6770610356
0017.3683294847	-158.5981521286
0010.5670356858	-010.2457762763
0010.4544133301	-342.5477801830
0007.8353291241	-167.4145175191
0009.8112175592	-267.1640100142
0019.9095548509	-221.1146828644
0023.4847535619	-191.2535380457
0020.1596201257	-226.8179242526
0022.8274700272	-165.5903341147
0004.4380998843	-134.3049565589
0026.1917914895	-358.4187274308
0006.8203983471	-187.6348989370
0024.1800421595	-320.4595055400
0014.8006645747	-087.8007445417
0008.0267872243	-284.8287497695
0004.5988546791	-134.3321480102
0010.6606794458	-334.1577888764
0013.8383386738	-074.0366427060
0007.9149071413	-190.7925192380
0002.8952333248	-098.3247897165
0007.7165398497	-167.4733232102
0026.3489885379	-262.3065988072
0024.7383162841	-308.4002341142
0011.2529051703	-349.9017033865
0016.6791438731	-115.9273568232
0003.7463739114	-193.5376428851
0003.9268962191	-332.7533267928
0009.0350425593	-371.6057854708
-000.9707128071	-023.8739705707
0010.2962860839	-272.8460850657
0021.2024390176	-285.4757692487
0010.0934751953	-318.8456369014
-002.1307601042	-016.5548184897
0019.3841384197	-207.7710656186
0014.7556224059	-103.3662321589
0017.3574244083	-140.9682702601
0017.7680194722	-163.7897366031
0020.2389198669	-226.7882575469
0002.1006130136	-073.9793184134
0019.9596433673	-254.2509532336
0019.1613237672	-085.0135694528
0003.6092848835	-193.6829295571
0005.9667868600	-173.5253927957
0015.2469634333	-409.5686177622
0006.9768868225	-210.5321698662
0001.5046057406	-066.6463788840
0024.6980848602	-328.5395461902
0012.7923426163	-063.1269493888
0003.3354769949	-283.6611238823
0008.0915566248	-284.6538515404
0004.3109288695	-111.8401067147
0004.3467125083	-111.9057293332
0002.6652834085	-121.8682913490
0008.5168570625	-292.6190282499
0016.9410781661	-418.9092540685
0009.6584807336	-313.0820544676
0027.2428557311	-417.1187932445
0002.6850810268	0007.0112308615
0004.4041735758	-112.5909471689
0005.7052935572	-227.1076310248
0018.6176530965	-172.8884453506
0009.5688703421	-266.8905421685
0015.9587753074	-137.2164104200
0009.1470071366	-371.8795583451
0003.7500868137	-193.1794763025
0006.1016539953	-173.1305097518
0000.2301885913	-112.6250457763
0026.3570128854	-262.1110806871
0027.3649708835	-412.2102155939
0018.0235948470	-163.4696686774
0015.4086516090	-399.8988559679
0011.8751779509	-041.8974373354
0021.7247329641	-104.5514000062
0011.8458150052	-033.1832769857
0018.7443321340	-173.4646086909
0029.2598705840	-418.9491772958
0013.4376782164	-058.2282364531
0017.2159357355	-158.9148095427
-000.1195460004	-035.3265818306
0001.4521392042	-066.6918214712
-001.7363313496	-158.6531969813
0015.8195707786	-137.3248876528
